;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15
count;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000;162.000000
mean;0.119257;0.166809;0.269053;0.227292;0.119257;0.274614;0.479266;0.068408;0.257223;0.126028;0.479199;0.016439;0.472026;0.354981;0.648148
std;0.169969;0.165336;0.189301;0.190496;0.169969;0.275875;0.215500;0.129524;0.158991;0.200524;0.215501;0.110330;0.218321;0.249921;0.479029
min;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
25%;0.016716;0.040579;0.124548;0.087513;0.016716;0.019967;0.338235;0.008847;0.124963;0.011716;0.338235;0.002506;0.346341;0.185484;0.000000
50%;0.063945;0.125135;0.267743;0.185978;0.063945;0.163133;0.455882;0.021873;0.262592;0.054508;0.455882;0.003121;0.400000;0.235023;1.000000
75%;0.114390;0.224426;0.367821;0.295142;0.114390;0.547422;0.599265;0.066626;0.392538;0.114452;0.599265;0.005990;0.618293;0.502304;1.000000
max;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
